ds,yhat_rounded,occupancy_rate_rounded,yhat_lower,yhat_upper
2023-04-07,1.82,22.76,0.29142559916607563,3.171033348951392
2023-04-08,4.62,57.81,3.1465415344964507,6.0437268385413745
2023-04-09,2.22,27.77,0.7278923842804245,3.68287836976012
2023-04-10,1.74,21.72,0.4009599615729557,3.091264325175341
2023-04-11,2.18,27.31,0.8430852346058604,3.6371720590645324
2023-04-12,2.26,28.22,0.953992252335084,3.701947179778453
2023-04-13,2.67,33.38,1.3319834231670704,4.189767180598974
2023-04-14,2.95,36.92,1.4997279841144884,4.350873198639438
2023-04-15,5.69,71.12,4.1691483710695225,7.382582264338573
2023-04-16,2.84,35.54,1.4437700758632115,4.3787277166972105
2023-04-17,2.16,27.02,0.715281860654191,3.503477123171508
2023-04-18,2.43,30.39,0.9402411184706114,3.9209516459490543
2023-04-19,2.31,28.9,0.8906425219519637,3.813872303327906
2023-04-20,2.34,29.28,0.9429512623485204,3.8106757978712826
2023-04-21,2.45,30.61,0.9257458256179203,3.828964192745404
2023-04-22,5.09,63.65,3.4050830425311767,6.61016334065752
2023-04-23,2.21,27.63,0.692582128921276,3.69223929332717
2023-04-24,1.37,17.17,0.0,2.7441121008274383
2023-04-25,1.54,19.25,0.17497508633949913,2.9210681746919565
2023-04-26,1.33,16.67,0.0,2.6792439604252274
2023-04-27,1.31,16.38,0.0,2.698017944622504
2023-04-28,1.4,17.45,0.11427353973260533,2.9139462149498248
2023-04-29,4.12,51.53,2.62034212334404,5.682447626978972
2023-04-30,1.2,14.95,0.0,2.644864214225511
2023-05-01,0.38,4.81,0.0,1.8428881661607626
2023-05-02,0.67,8.34,0.0,2.0871522660157305
2023-05-03,0.57,7.15,0.0,1.9302874006881883
2023-05-04,0.67,8.41,0.0,2.0402098094456895
2023-05-05,1.81,22.58,0.3150886476180143,3.2133884763625074
2023-05-06,3.89,48.64,2.3482635803030902,5.4641528515556335
2023-05-07,1.05,13.13,0.0,2.4077228936122848
2023-05-08,0.4,5.02,0.0,1.8697181835990013
2023-05-09,0.83,10.44,0.0,2.249425509006311
2023-05-10,0.89,11.08,0.0,2.2894335288134497
2023-05-11,1.13,14.18,0.0,2.6420933871450307
2023-05-12,1.49,18.65,0.0,2.8863113312112776
2023-05-13,4.62,57.77,3.0595664579577035,6.22302191272818
2023-05-14,1.76,21.98,0.3154195544129355,3.1712691814615543
2023-05-15,1.11,13.93,0.0,2.6432461139669305
2023-05-16,1.55,19.36,0.13743082235297174,2.929906525781908
2023-05-17,1.56,19.45,0.10622428529706886,2.94220947257154
2023-05-18,1.73,21.64,0.4464308852722695,3.2024782161515097
2023-05-19,1.99,24.82,0.5792206567675852,3.36303272320059
2023-05-20,5.06,63.2,3.453059471931255,6.751170713734345
2023-05-21,1.95,24.35,0.6117289470073438,3.4444311199528284
2023-05-22,1.1,13.69,0.0,2.5331292717743614
2023-05-23,1.33,16.64,0.0,2.763736511656569
2023-05-24,1.12,13.97,0.0,2.5187264499163176
2023-05-25,1.07,13.38,0.0,2.496554580750039
2023-05-26,1.1,13.81,0.0,2.541815808915493
2023-05-27,4.04,50.44,2.3157581944737617,5.777721864716611
2023-05-28,0.64,8.03,0.0,1.8550434498788597
2023-05-29,0.0,0.0,0.0,0.9872264852896127
2023-05-30,0.0,0.0,0.0,1.1096085177836288
2023-05-31,0.0,0.0,0.0,0.7378375963920192
2023-06-01,0.0,0.0,0.0,0.4929745968497095
2023-06-02,0.0,0.0,0.0,0.5532269123940646
2023-06-03,2.13,26.65,0.709267925533216,3.6537054574799206
2023-06-04,0.0,0.0,0.0,0.07307573945855346
2023-06-05,0.0,0.0,0.0,0.0
2023-06-06,0.0,0.0,0.0,0.0
2023-06-07,0.0,0.0,0.0,0.0
2023-06-08,0.0,0.0,0.0,0.0
2023-06-09,0.0,0.0,0.0,0.0
2023-06-10,1.27,15.89,0.0,2.557271290977926
2023-06-11,0.0,0.0,0.0,0.0
2023-06-12,0.0,0.0,0.0,0.0
2023-06-13,0.0,0.0,0.0,0.0
2023-06-14,0.0,0.0,0.0,0.0
2023-06-15,0.0,0.0,0.0,0.0
2023-06-16,0.0,0.0,0.0,0.06900195415390549
2023-06-17,2.37,29.57,0.8211655199458621,3.8357378898091232
2023-06-18,0.0,0.0,0.0,0.6906036564786958
2023-06-19,0.0,0.0,0.0,0.12489733051016727
2023-06-20,0.0,0.0,0.0,0.7116266437837312
2023-06-21,0.0,0.0,0.0,1.0172414033610508
2023-06-22,0.02,0.28,0.0,1.5187001229981283
2023-06-23,0.56,6.97,0.0,1.8991994943037476
2023-06-24,4.29,53.57,2.5574289568508983,5.969612084791826
2023-06-25,1.05,13.14,0.0,2.4355078034419475
2023-06-26,0.37,4.66,0.0,1.7686325296479064
2023-06-27,0.93,11.6,0.0,2.3374100051073246
2023-06-28,0.98,12.23,0.0,2.343050162197732
2023-06-29,1.21,15.18,0.0,2.6803827001763154
2023-06-30,1.54,19.23,0.14307132854684118,2.943605051546082
2023-07-01,5.11,63.91,3.2790395022340646,7.053097048287991
2023-07-02,1.56,19.47,0.28287252924171163,2.9674592566479077
2023-07-03,0.62,7.69,0.0,1.9268081447530518
2023-07-04,0.94,11.76,0.0,2.3895043493489005
2023-07-05,0.76,9.55,0.0,2.1180373409514024
2023-07-06,0.8,9.97,0.0,2.1873128486749587
2023-07-07,0.95,11.83,0.0,2.2751236583099668
2023-07-08,4.45,55.62,2.699467558407812,6.273724450206693
2023-07-09,0.7,8.74,0.0,2.022933570193846
2023-07-10,0.0,0.0,0.0,1.0643704886307375
2023-07-11,0.0,0.0,0.0,1.3297932276566773
2023-07-12,0.0,0.0,0.0,1.2101643512216984
2023-07-13,0.0,0.0,0.0,1.214661764942555
2023-07-14,0.09,1.15,0.0,1.4009733908271853
2023-07-15,3.79,47.37,2.037816822390113,5.38761522578626
2023-07-16,0.11,1.32,0.0,1.489254673928102
2023-07-17,0.0,0.0,0.0,0.562769750517804
2023-07-18,0.0,0.0,0.0,1.062370769353901
2023-07-19,0.0,0.0,0.0,1.0796137603908595
2023-07-20,0.03,0.39,0.0,1.4481436010741742
2023-07-21,0.48,6.02,0.0,1.8896934988760103
2023-07-22,4.46,55.76,2.756620525448519,6.371016923026075
2023-07-23,0.88,11.05,0.0,2.279104045746128
2023-07-24,0.14,1.76,0.0,1.4531870112041827
2023-07-25,0.78,9.78,0.0,2.236330582484993
2023-07-26,0.91,11.39,0.0,2.313578068226983
2023-07-27,1.27,15.92,0.0,2.7325287669722367
2023-07-28,1.75,21.89,0.30809653313184693,3.1637441864108617
2023-07-29,5.8,72.49,3.727355537745728,7.994250131794424
2023-07-30,2.09,26.06,0.6490613363301941,3.5593156620783892
2023-07-31,2.4,30.0,0.8792427484732731,4.109638709663558
2023-08-01,1.81,22.57,0.2937435259398595,3.3523736900040064
2023-08-02,1.76,21.96,0.37777203175058927,3.235321113095194
2023-08-03,1.84,22.96,0.355634856698521,3.2812988323395977
2023-08-04,2.09,26.12,0.5982494553142671,3.6083062530945766
2023-08-05,5.95,74.43,3.755427042191523,8.0
2023-08-06,1.89,23.65,0.32872674865363277,3.3831131321615677
2023-08-07,0.73,9.15,0.0,2.1273808984779485
2023-08-08,0.98,12.22,0.0,2.3762027446541483
2023-08-09,0.66,8.28,0.0,2.0823340657429736
2023-08-10,0.58,7.2,0.0,1.9173972443737435
2023-08-11,0.61,7.67,0.0,1.9968160793069145
2023-08-12,4.35,54.43,2.4236930989030303,6.302625325772042
2023-08-13,0.08,0.96,0.0,1.5347481414683726
2023-08-14,0.0,0.0,0.0,0.18162506932897746
2023-08-15,0.0,0.0,0.0,0.3117563307176071
2023-08-16,0.0,0.0,0.0,0.14053417055208373
2023-08-17,0.0,0.0,0.0,0.04368780285170611
2023-08-18,0.0,0.0,0.0,0.1578331009047121
2023-08-19,2.69,33.62,1.1478053376260933,4.422722258643108
2023-08-20,0.0,0.0,0.0,0.0
2023-08-21,0.0,0.0,0.0,0.0
2023-08-22,0.0,0.0,0.0,0.0
2023-08-23,0.0,0.0,0.0,0.0
2023-08-24,0.0,0.0,0.0,0.0
2023-08-25,0.0,0.0,0.0,0.0
2023-08-26,2.78,34.76,1.1098300240048127,4.49626283540255
2023-08-27,0.0,0.0,0.0,0.20870418895127385
2023-08-28,0.0,0.0,0.0,0.0
2023-08-29,0.0,0.0,0.0,0.09176191919234267
2023-08-30,0.0,0.0,0.0,0.18633631069258447
2023-08-31,0.0,0.0,0.0,0.7372779904299808
2023-09-01,0.0,0.0,0.0,1.0909856698938007
2023-09-02,4.29,53.68,2.334932505656921,6.244603404855911
2023-09-03,0.26,3.24,0.0,1.6863643861776332
2023-09-04,0.0,0.0,0.0,0.7364893320293916
2023-09-05,0.01,0.18,0.0,1.2907978489140293
2023-09-06,0.04,0.49,0.0,1.3887588743484258
2023-09-07,0.29,3.67,0.0,1.6394148770233252
2023-09-08,0.66,8.19,0.0,2.1410952558826057
2023-09-09,4.99,62.36,2.9988843236046487,7.1753385414764725
2023-09-10,0.6,7.44,0.0,1.976079440121535
2023-09-11,0.0,0.0,0.0,0.7249766006842168
2023-09-12,0.0,0.0,0.0,1.0985879476454847
2023-09-13,0.0,0.0,0.0,0.7758773378989059
2023-09-14,0.0,0.0,0.0,0.9223991844591279
2023-09-15,0.0,0.0,0.0,0.7177641159106849
2023-09-16,3.6,44.97,1.7408238345646034,5.635304040690047
2023-09-17,0.0,0.0,0.0,0.3659632153684824
2023-09-18,0.0,0.0,0.0,0.0
2023-09-19,0.0,0.0,0.0,0.0
2023-09-20,0.0,0.0,0.0,0.0
2023-09-21,0.0,0.0,0.0,0.0
2023-09-22,0.0,0.0,0.0,0.0
2023-09-23,1.68,20.96,0.2528289998501689,3.3059246144962557
2023-09-24,0.0,0.0,0.0,0.0
2023-09-25,0.0,0.0,0.0,0.0
2023-09-26,0.0,0.0,0.0,0.0
2023-09-27,0.0,0.0,0.0,0.0
2023-09-28,0.0,0.0,0.0,0.0
2023-09-29,0.0,0.0,0.0,0.0
2023-09-30,1.97,24.59,0.4126805101078842,3.4507521186817383
2023-10-01,0.0,0.0,0.0,0.0
2023-10-02,0.0,0.0,0.0,0.0
2023-10-03,0.0,0.0,0.0,0.0
2023-10-04,0.0,0.0,0.0,0.0
2023-10-05,0.0,0.0,0.0,0.4312162362234158
2023-10-06,0.0,0.0,0.0,1.1669584303929212
2023-10-07,5.11,63.87,2.7582571242260476,7.447026230758766
2023-10-08,1.04,13.04,0.0,2.451970258854375
2023-10-09,0.45,5.62,0.0,1.9475793004721518
2023-10-10,1.54,19.31,0.049943667455823695,3.0793094182194736
2023-10-11,1.99,24.89,0.4225856948702364,3.6151637792020157
2023-10-12,2.71,33.81,1.146133320443688,4.375904252754012
2023-10-13,3.55,44.35,1.6675253541260204,5.527842484902482
2023-10-14,8.0,100.0,5.333298397543544,8.0
2023-10-15,4.39,54.92,2.2688988753698065,6.643151101425734
2023-10-16,3.53,44.14,1.6686229382414237,5.538936962773918
2023-10-17,4.33,54.19,2.252928416510883,6.41125265516622
2023-10-18,4.44,55.48,2.2329378680955623,6.5461812572446885
2023-10-19,4.78,59.78,2.634132125223756,7.140025165703823
2023-10-20,5.23,65.44,2.830303556247195,7.77582204324976
2023-10-21,8.0,100.0,6.205587231821616,8.0
2023-10-22,5.26,65.77,2.8725212810506453,7.8768777584067875
2023-10-23,4.03,50.33,2.022329829660469,6.148438546552415
2023-10-24,4.4,55.03,2.1935628172740187,6.640215987320066
2023-10-25,4.15,51.82,2.2668243000668884,6.291768316421762
2023-10-26,4.17,52.11,2.177847682441012,6.2459433800646265
2023-10-27,4.34,54.31,2.2746854406640318,6.472260612890471
2023-10-28,8.0,100.0,5.450186570304877,8.0
2023-10-29,3.95,49.4,2.037579458146524,6.109270336357565
2023-10-30,2.52,31.44,0.8079008262861795,4.188102612569496
2023-10-31,2.88,35.95,1.2461504854148184,4.652696035094
2023-11-01,2.59,32.44,1.0349754946562901,4.308240365266694
2023-11-02,2.65,33.13,0.9438751823547886,4.357690281102533
2023-11-03,2.91,36.36,1.0923012490545236,4.744629478934504
2023-11-04,7.81,97.57,4.713665334393442,8.0
2023-11-05,2.79,34.87,1.1494821172181713,4.5687501184342
2023-11-06,1.52,18.95,0.08678450591183086,3.0845414297364853
2023-11-07,2.09,26.11,0.5507296919617178,3.6167642763592815
2023-11-08,2.02,25.26,0.4094879763994342,3.661015542062975
2023-11-09,2.3,28.72,0.6277863392558792,3.9747550118838793
2023-11-10,2.78,34.69,1.1336972553638516,4.520618327367473
2023-11-11,7.95,99.39,4.55146103560595,8.0
2023-11-12,3.03,37.91,1.1700817160012784,4.951345379068806
2023-11-13,1.89,23.62,0.20348974695061578,3.5258845759830475
2023-11-14,2.59,32.34,0.802982101619454,4.471064035595323
2023-11-15,2.6,32.45,0.8026492323600223,4.382571155268797
2023-11-16,2.91,36.41,1.0718337857908282,4.936473394367192
2023-11-17,3.39,42.38,1.4350418870213162,5.250508303189271
2023-11-18,8.0,100.0,5.012562049508773,8.0
2023-11-19,3.51,43.9,1.5249112610297868,5.650765769925205
2023-11-20,2.22,27.78,0.4921214225511235,3.8952697169072965
2023-11-21,2.77,34.61,1.2230873054464453,4.544329262201318
2023-11-22,2.59,32.35,0.848077988421899,4.418015896784531
2023-11-23,2.7,33.76,0.9829249019676896,4.454812233587816
2023-11-24,2.96,37.05,1.2078732073176435,4.867717701495808
2023-11-25,8.0,100.0,4.629194942718899,8.0
2023-11-26,2.64,32.99,0.8516157084455996,4.47376029308455
2023-11-27,1.12,14.01,0.0,2.684328615808443
2023-11-28,1.49,18.62,0.0,3.043224917983869
2023-11-29,1.15,14.38,0.0,2.6245501850767137
2023-11-30,1.15,14.31,0.0,2.5737765665245846
2023-12-01,1.34,16.71,0.0,2.864618269183884
2023-12-02,6.45,80.6,3.5439745092155985,8.0
2023-12-03,1.01,12.57,0.0,2.5033968125317547
2023-12-04,0.0,0.0,0.0,0.9896752251706927
2023-12-05,0.12,1.45,0.0,1.6388582695065608
2023-12-06,0.0,0.0,0.0,1.2913631863849628
