month,yhat_rounded,occupancy_rate_rounded,yhat_lower,yhat_upper
January,0.9893548387096774,12.370322580645162,0.20558792403268672,2.3808192136252777
February,0.5003571428571428,6.249285714285714,0.11729737212222871,1.67126035085346
March,0.39354838709677414,4.928709677419356,0.1452308764053611,1.6784768729222104
April,2.2756666666666665,28.452333333333335,0.932484928989782,3.7122511817051227
May,1.4680645161290322,18.351290322580645,0.4415545646256129,2.8682242038786696
June,0.5573333333333333,6.9656666666666665,0.14103112436256057,1.255848760982262
July,1.3183870967741935,16.48032258064516,0.5361152610775245,2.7279393309093067
August,0.9290322580645162,11.61225806451613,0.33518974584136546,1.747626435424452
September,0.613,7.659000000000001,0.25800500579280755,1.412249226885269
October,3.3158064516129033,41.45161290322581,1.768411072951131,4.797545585903901
November,3.1373333333333333,39.211999999999996,1.2850897813109086,4.652846761133353
December,3.8722580645161293,48.39064516129032,2.140059628644012,5.243111881622709
